WARN  | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'errorLog'  
FATAL | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'fatalLog'  
WARN  | 01-07-2019 | 14:32:26 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 01-07-2019 | 14:32:26 | com.epam.igorpystovit.Application -> 'errorLog'  
FATAL | 01-07-2019 | 14:32:26 | com.epam.igorpystovit.Application -> 'fatalLog'  
ERROR | 01-07-2019 | 19:39:52 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate primary key'  
ERROR | 02-07-2019 | 10:28:20 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 10:29:40 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:29:53 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:29:53 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:30:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:30:12 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:30:22 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:33:35 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:35:01 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 10:36:51 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 10:41:59 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 10:42:13 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'A row you are trying to delete does not exist'  
ERROR | 02-07-2019 | 10:45:16 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
ERROR | 02-07-2019 | 10:46:37 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate key'  
